team_api_id,mean_player_rating,points_per_game
7819,70.44044391281234,1.2105263157894732
8481,71.30648030199465,1.2631578947368423
8521,70.6280701754386,1.2105263157894732
8583,72.20729665071768,1.2894736842105268
8588,69.23494190020507,0.9210526315789476
8592,77.91804407713498,1.7894736842105268
8639,79.41188197767144,2.0
8689,73.3803827751196,1.2894736842105268
9748,78.51794258373208,1.6842105263157883
9827,74.63875598086123,1.3421052631578954
9829,71.39676368952686,1.157894736842105
9831,71.71961407705867,1.2105263157894732
9847,75.27315447710183,1.5789473684210533
9851,74.22248803827752,1.4736842105263153
9853,73.30023923444976,1.2894736842105268
9873,72.46659578238526,1.2631578947368423
9874,72.32232854864431,1.5263157894736847
9941,73.69776714513557,1.3157894736842117
10249,74.77156527682844,1.2368421052631577
108893,66.11202741702743,0.5263157894736846
