team_name,team_api_id,mean_player_rating,points_per_game
AS Monaco,9829,72.62623271274035,1.710526315789473
AS Saint-Étienne,9853,71.91325806309021,1.5263157894736847
Angers SCO,8121,65.55881820951899,1.3157894736842117
ES Troyes AC,10242,64.97033534001424,0.47368421052631543
En Avant de Guingamp,9747,68.05216781504154,1.157894736842105
FC Lorient,8689,66.33469386980073,1.2105263157894732
FC Nantes,9830,68.08520173562734,1.2631578947368423
GFC Ajaccio,6391,65.03201872533741,0.9736842105263153
Girondins de Bordeaux,9827,69.81707706917625,1.3157894736842117
LOSC Lille,8639,69.92009031611664,1.5789473684210533
Montpellier Hérault SC,10249,68.96934653523267,1.2894736842105268
OGC Nice,9831,69.13761238526664,1.6578947368421044
Olympique Lyonnais,9748,72.86020049275925,1.710526315789473
Olympique de Marseille,8592,73.30765664205906,1.2631578947368423
Paris Saint-Germain,9847,77.7878586155643,2.5263157894736845
SC Bastia,7794,67.15768033823623,1.3157894736842117
SM Caen,7819,68.02395789237193,1.421052631578947
Stade Rennais FC,9851,70.06339279624962,1.3684210526315803
Stade de Reims,9837,67.70897325467865,1.0263157894736847
Toulouse FC,9941,68.60324304280327,1.0526315789473693
