team_name,team_api_id,mean_player_rating,points_per_game
AC Bellinzona,6493,58.515466670674996,0.694444444444444
BSC Young Boys,10192,66.86292087542088,2.1388888888888875
FC Aarau,9930,59.8605213844797,0.6388888888888892
FC Basel,9931,68.8661616161616,2.222222222222223
FC Luzern,10199,61.17407407407407,1.6111111111111125
FC Sion,10179,62.49700627304795,1.416666666666666
FC St. Gallen,10190,60.461314534231214,1.2777777777777783
FC Zürich,10243,64.74498917748919,1.25
Grasshopper Club Zürich,9956,62.60492424242424,1.8055555555555567
Neuchâtel Xamax,7955,59.444334159496215,1.1388888888888884
