team_name,team_api_id,mean_player_rating,points_per_game
Arsenal,9825,80.49976076555023,1.7894736842105268
Aston Villa,10252,76.11493886230727,1.2631578947368423
Birmingham City,8658,73.51374677953629,1.0263157894736847
Blackburn Rovers,8655,73.85870215311006,1.1315789473684204
Blackpool,8483,70.69041733120683,1.0263157894736847
Bolton Wanderers,8559,73.1566985645933,1.2105263157894732
Chelsea,8455,82.00623268698061,1.86842105263158
Everton,8668,77.377990430622,1.421052631578947
Fulham,9879,75.83253588516743,1.2894736842105268
Liverpool,8650,79.02870813397129,1.5263157894736847
Manchester City,8456,82.38397129186603,1.86842105263158
Manchester United,10260,81.68456937799044,2.1052631578947385
Newcastle United,10261,75.76879699248121,1.2105263157894732
Stoke City,10194,74.71291866028707,1.2105263157894732
Sunderland,8472,74.91499999999998,1.2368421052631577
Tottenham Hotspur,8586,79.36842105263158,1.6315789473684195
West Bromwich Albion,8659,73.13154904306221,1.2368421052631577
West Ham United,8654,72.61056049213944,0.868421052631579
Wigan Athletic,8528,72.91387559808614,1.1052631578947374
Wolverhampton Wanderers,8602,72.43221690590111,1.0526315789473693
