team_name,team_api_id,mean_player_rating,points_per_game
Cracovia,2186,61.427056153867554,1.5
Górnik Łęczna,8019,58.967097231538595,1.033333333333334
Jagiellonia Białystok,1957,60.80276938482318,1.166666666666667
Korona Kielce,8245,60.36093876864972,1.233333333333334
Lech Poznań,2182,65.12563041166798,1.4333333333333327
Lechia Gdańsk,8030,64.05325785246569,1.2999999999999998
Legia Warszawa,8673,65.78522819933032,2.0
Piast Gliwice,8028,61.682283811538234,1.933333333333332
Podbeskidzie Bielsko-Biała,8033,60.87268283340744,1.266666666666666
Pogoń Szczecin,8023,63.560985881286776,1.5333333333333334
Polonia Bytom,8020,62.173949863362274,0.866666666666667
Ruch Chorzów,1601,61.233948238964885,1.2999999999999998
Termalica Bruk-Bet Nieciecza,177361,60.3107870797761,1.1000000000000005
Wisła Kraków,10265,63.60663641033838,1.233333333333334
Zagłębie Lubin,8021,59.64247582310551,1.5
Śląsk Wrocław,8025,62.06681154174513,1.133333333333333
