team_name,team_api_id,mean_player_rating,points_per_game
1. FC Nürnberg,8165,72.20066220184768,1.294117647058824
1. FSV Mainz 05,9905,71.98674910718448,1.2352941176470582
Bayer 04 Leverkusen,8178,76.2198881997131,1.9117647058823537
Borussia Dortmund,9789,78.73532107098131,1.9411764705882337
Borussia Mönchengladbach,9788,74.01887651400429,1.3823529411764708
Eintracht Frankfurt,9810,72.53779628826058,1.5
FC Augsburg,8406,69.9810172264959,0.9705882352941169
FC Bayern Munich,9823,81.91072413334209,2.6764705882352935
FC Schalke 04,10189,76.27908511732943,1.6176470588235292
Fortuna Düsseldorf,8194,68.83359054616514,0.8823529411764709
Hamburger SV,9790,75.12831370985529,1.4117647058823533
Hannover 96,9904,73.17152311923573,1.3235294117647052
SC Freiburg,8358,71.76376020790465,1.5
SV Werder Bremen,8697,73.76334745602743,1.0
SpVgg Greuther Fürth,8357,68.09695502816186,0.6176470588235291
TSG 1899 Hoffenheim,8226,72.85067671872908,0.9117647058823524
VfB Stuttgart,10269,73.74777686248983,1.2647058823529418
VfL Wolfsburg,8721,75.8480733146631,1.2647058823529418
