team_name,team_api_id,mean_player_rating,points_per_game
Aberdeen,8485,62.79825893217393,1.0789473684210529
Celtic,9925,71.26786529857701,2.4473684210526305
Dundee United,9938,64.87382946001368,1.5526315789473693
Dunfermline Athletic,8457,60.121462229955064,0.6578947368421059
Heart of Midlothian,9860,63.89376091744512,1.3684210526315803
Hibernian,10251,63.40473108333017,0.868421052631579
Inverness Caledonian Thistle,8066,63.385901478903875,1.0263157894736847
Kilmarnock,8597,61.894444919779865,1.2368421052631577
Motherwell,9927,65.4166402178364,1.6315789473684195
Rangers,8548,69.09400470530503,2.1842105263157894
St. Johnstone FC,8467,64.09542967469719,1.3157894736842117
St. Mirren,9800,63.01288347875033,1.1315789473684204
