,country_id,country,league,season,stage,date,match_year,match_api_id,team_flag,team_api_id,team_long_name,team_short_name,team_goals,result,points,player_api_id,player_name,birthday,height,weight,cumpoints
152893,1729,England,Premier League,2014/2015,1,2014-08-18,2014,1723983,home_team,8191,Burnley,BUR,1,lost,0,37240,Scott Arfield,1988-11-01,177.8,154,0
152911,1729,England,Premier League,2014/2015,2,2014-08-23,2014,1724000,away_team,8191,Burnley,BUR,0,lost,0,37240,Scott Arfield,1988-11-01,177.8,154,0
152894,1729,England,Premier League,2014/2015,3,2014-08-30,2014,1724003,home_team,8191,Burnley,BUR,0,draw,1,37240,Scott Arfield,1988-11-01,177.8,154,1
152912,1729,England,Premier League,2014/2015,4,2014-09-13,2014,1724014,away_team,8191,Burnley,BUR,0,draw,1,37240,Scott Arfield,1988-11-01,177.8,154,2
152895,1729,England,Premier League,2014/2015,5,2014-09-20,2014,1724023,home_team,8191,Burnley,BUR,0,draw,1,37240,Scott Arfield,1988-11-01,177.8,154,3
152913,1729,England,Premier League,2014/2015,6,2014-09-28,2014,1724041,away_team,8191,Burnley,BUR,0,lost,0,37240,Scott Arfield,1988-11-01,177.8,154,3
152914,1729,England,Premier League,2014/2015,7,2014-10-04,2014,1724045,away_team,8191,Burnley,BUR,2,draw,1,37240,Scott Arfield,1988-11-01,177.8,154,4
152896,1729,England,Premier League,2014/2015,8,2014-10-18,2014,1724053,home_team,8191,Burnley,BUR,1,lost,0,37240,Scott Arfield,1988-11-01,177.8,154,4
152897,1729,England,Premier League,2014/2015,9,2014-10-26,2014,1724062,home_team,8191,Burnley,BUR,1,lost,0,37240,Scott Arfield,1988-11-01,177.8,154,4
152915,1729,England,Premier League,2014/2015,10,2014-11-01,2014,1724072,away_team,8191,Burnley,BUR,0,lost,0,37240,Scott Arfield,1988-11-01,177.8,154,4
152898,1729,England,Premier League,2014/2015,11,2014-11-08,2014,1724082,home_team,8191,Burnley,BUR,1,won,3,37240,Scott Arfield,1988-11-01,177.8,154,7
