,team_name,team_api_id,mean_player_rating,points_per_game
0,Arsenal,9825,80.97755753018909,1.86842105263158
1,Aston Villa,10252,74.83774587985113,0.4473684210526317
2,Bournemouth,8678,72.19377990430623,1.1052631578947374
3,Chelsea,8455,82.4503341687552,1.3157894736842117
4,Crystal Palace,9826,75.57059314954051,1.1052631578947374
5,Everton,8668,77.7995813397129,1.2368421052631577
6,Leicester City,8197,74.94500144990572,2.1315789473684235
7,Liverpool,8650,78.0576270221007,1.5789473684210533
8,Manchester City,8456,82.03058213716108,1.736842105263158
9,Manchester United,10260,79.96734449760768,1.736842105263158
10,Newcastle United,10261,75.34925951241739,0.9736842105263153
11,Norwich City,9850,73.40962633857369,0.8947368421052634
12,Southampton,8466,76.3975279106858,1.6578947368421044
13,Stoke City,10194,76.58753702437912,1.3421052631578954
14,Sunderland,8472,75.11907230196705,1.0263157894736847
15,Swansea City,10003,76.73612535125693,1.2368421052631577
16,Tottenham Hotspur,8586,78.97657625468632,1.8421052631578951
17,Watford,9817,74.19745955798585,1.1842105263157883
18,West Bromwich Albion,8659,74.68700159489634,1.1315789473684204
19,West Ham United,8654,76.23297676008204,1.6315789473684195
