team_name,team_api_id,mean_player_rating,points_per_game
Académica de Coimbra,10215,66.96368686868686,1.1000000000000005
CD Nacional,10214,70.20060606060605,1.2999999999999998
CF Os Belenenses,9807,67.32272727272726,0.7666666666666667
CS Marítimo,10212,70.09807239057241,1.366666666666667
FC Paços de Ferreira,6403,66.14703403078404,1.166666666666667
FC Porto,9773,78.72424242424243,2.266666666666666
Leixões SC,6421,66.89075752950754,0.6999999999999996
Naval 1° de Maio,9809,67.03287037037036,1.2
Rio Ave FC,7841,68.31585858585859,1.033333333333334
S.C. Olhanense,2033,67.33300396825395,0.966666666666666
SC Braga,10264,74.53276094276094,2.3666666666666663
SL Benfica,9772,79.11363636363639,2.533333333333332
Sporting CP,9768,76.26924242424242,1.6000000000000008
"União de Leiria, SAD",9771,67.40592592592594,1.166666666666667
Vitória Guimarães,7844,70.93348484848482,1.366666666666667
Vitória Setúbal,10238,67.31018518518518,0.8333333333333331
