team_api_id,mean_player_rating,points_per_game
7878,69.1833390831707,1.0263157894736847
8302,74.05399753869276,1.3684210526315803
8305,71.84001747260945,0.9473684210526309
8306,68.80911011277045,1.157894736842105
8315,73.98295594696187,1.6315789473684195
8370,70.26680729004983,1.0
8372,68.27237961235055,1.1315789473684204
8558,68.57959501500363,1.1315789473684204
8560,72.39256063067322,1.2631578947368423
8581,70.28620032660507,0.8421052631578941
8603,70.63709801770352,1.1842105263157883
8633,80.39395040867122,2.3684210526315765
8634,81.59676331443605,2.3947368421052615
9783,72.1044904518416,1.1052631578947374
9864,72.188288795943,1.2631578947368423
9869,68.40456853393943,1.0263157894736847
9906,76.8449843214654,2.31578947368421
9910,70.75310784133194,1.5789473684210533
10205,72.65159177347509,1.6842105263157883
10267,73.67159726593837,1.157894736842105
