team_name,team_api_id,mean_player_rating,points_per_game
Aberdeen,8485,64.88369580977235,1.0789473684210529
Celtic,9925,72.74760765550238,2.1315789473684235
Dundee United,9938,68.1234250398724,1.6578947368421044
Falkirk,8596,62.35247873471557,0.8157894736842097
Hamilton Academical FC,8429,65.26534653020113,1.2894736842105268
Heart of Midlothian,9860,66.1574827219564,1.2631578947368423
Hibernian,10251,68.61528213166143,1.421052631578947
Kilmarnock,8597,63.295271796916545,0.868421052631579
Motherwell,9927,67.91327751196172,1.3947368421052622
Rangers,8548,73.83253588516747,2.289473684210525
St. Johnstone FC,8467,63.84096446925393,1.2368421052631577
St. Mirren,9800,64.3436735778841,0.8947368421052634
