,team_name,team_api_id,mean_player_rating,points_per_game
0,Athletic Club de Bilbao,8315,76.57296650717703,1.5263157894736847
1,Atlético Madrid,9906,79.1291866028708,1.5263157894736847
2,CA Osasuna,8371,73.65430622009569,1.2368421052631577
3,FC Barcelona,8634,84.19976076555022,2.5263157894736845
4,Getafe CF,8305,74.36961722488039,1.157894736842105
5,Hércules Club de Fútbol,10278,72.34771398192451,0.9210526315789476
6,Levante UD,8581,71.75287081339712,1.1842105263157883
7,Málaga CF,9864,72.69138755980858,1.2105263157894732
8,RC Deportivo de La Coruña,9783,72.93301435406701,1.1315789473684204
9,RCD Espanyol,8558,74.57177033492825,1.2894736842105268
10,RCD Mallorca,8661,74.32631578947367,1.157894736842105
11,Racing Santander,8696,73.32623604465708,1.2105263157894732
12,Real Madrid CF,8633,83.88696172248802,2.4210526315789465
13,Real Sociedad,8560,73.88277511961721,1.1842105263157883
14,Real Sporting de Gijón,9869,73.1255980861244,1.2368421052631577
15,Real Zaragoza,8394,72.05574162679423,1.1842105263157883
16,Sevilla FC,8302,77.2811004784689,1.5263157894736847
17,UD Almería,9865,72.56605528973951,0.7894736842105267
18,Valencia CF,10267,77.92822966507178,1.86842105263158
19,Villarreal CF,10205,79.42870813397128,1.6315789473684195
