team_name,team_api_id,mean_player_rating,points_per_game
ADO Den Haag,10217,67.05185909820057,1.1764705882352944
AZ,10229,69.97534794220292,1.1470588235294124
Ajax,8593,74.21360328226581,2.2352941176470584
FC Groningen,8674,67.67403827148502,1.2647058823529418
FC Twente,8611,71.66012992094188,1.8235294117647047
FC Utrecht,9908,68.43322813627731,1.8529411764705874
Feyenoord,10235,72.03341374954456,2.0294117647058836
Heracles Almelo,9791,66.69197063164445,1.1176470588235292
N.E.C.,8464,66.34421590357579,1.0882352941176472
NAC Breda,9761,66.50816135773712,1.1176470588235292
PEC Zwolle,6413,66.24076646366807,1.1470588235294124
PSV,8640,73.91697636527857,2.0294117647058836
RKC Waalwijk,10219,66.32713303180381,1.0882352941176472
Roda JC Kerkrade,9803,66.06347455098648,0.9705882352941169
SC Heerenveen,10228,69.13067286949233,1.2352941176470582
VVV-Venlo,9839,64.91731440158178,0.8235294117647063
Vitesse,8277,72.07195550912772,1.8823529411764706
Willem II,8525,63.34409502114049,0.6764705882352938
