team_name,team_api_id,mean_player_rating,points_per_game
Arsenal,9825,78.81958811022133,1.9210526315789462
Aston Villa,10252,71.27549702345684,1.0789473684210529
Chelsea,8455,80.20117725441708,1.9736842105263155
Everton,8668,77.05955466595556,1.6578947368421044
Fulham,9879,75.67467772178743,1.1315789473684204
Liverpool,8650,78.60596137440837,1.605263157894738
Manchester City,8456,81.67753784792566,2.0526315789473695
Manchester United,10260,80.02548821804955,2.3421052631578942
Newcastle United,10261,74.7531878288623,1.0789473684210529
Norwich City,9850,70.90550242589593,1.157894736842105
Queens Park Rangers,10172,74.42254622209401,0.6578947368421059
Reading,9798,68.17212402281281,0.7368421052631576
Southampton,8466,72.24518612909384,1.0789473684210529
Stoke City,10194,73.16875077262826,1.1052631578947374
Sunderland,8472,73.90244043003209,1.0263157894736847
Swansea City,10003,72.90809943530023,1.2105263157894732
Tottenham Hotspur,8586,78.6788607168291,1.8947368421052617
West Bromwich Albion,8659,72.78550628901246,1.2894736842105268
West Ham United,8654,72.52069685639331,1.2105263157894732
Wigan Athletic,8528,72.39839417432597,0.9473684210526309
