team_name,team_api_id,mean_player_rating,points_per_game
Beerschot AC,9993,65.66605245091608,1.2
Club Brugge KV,8342,70.29081487536033,2.033333333333332
KAA Gent,9991,68.2114216969391,1.866666666666667
KRC Genk,9987,71.06057387601506,1.5333333333333334
KSV Cercle Brugge,9984,66.35771364361315,1.5333333333333334
KV Kortrijk,8571,67.00166601075692,1.5333333333333334
KV Mechelen,8203,66.2889466089466,1.233333333333334
KVC Westerlo,10001,63.83005215827942,0.6666666666666666
Lierse SK,9989,65.62880711880713,1.033333333333334
Oud-Heverlee Leuven,1773,63.89695369277187,0.966666666666666
RAEC Mons,9998,65.05036661991205,1.2
RSC Anderlecht,8635,72.2214748360801,2.233333333333334
SV Zulte-Waregem,10000,67.79137914862915,1.0
Sint-Truidense VV,9997,64.12844046525863,0.633333333333333
Sporting Lokeren,9994,68.20779941735823,1.4666666666666666
Standard de Liège,9985,71.24673737373737,1.7000000000000006
