team_name,team_api_id,mean_player_rating,points_per_game
Aberdeen,8485,63.77308226831177,1.86842105263158
Celtic,9925,68.86884506359445,2.2631578947368407
Dundee FC,8284,60.21092691121958,1.2631578947368423
Dundee United,9938,62.32657962220445,0.8157894736842097
Hamilton Academical FC,8429,58.36935980022103,1.1315789473684204
Heart of Midlothian,9860,63.31514100299672,1.710526315789473
Inverness Caledonian Thistle,8066,59.29251964357025,1.3684210526315803
Kilmarnock,8597,60.678722679199204,0.9473684210526309
Motherwell,9927,61.67117173113318,1.3157894736842117
Partick Thistle F.C.,8426,60.62501862649347,1.2105263157894732
Ross County FC,8649,61.01358350649516,1.2631578947368423
St. Johnstone FC,8467,62.454376800982594,1.4736842105263153
