team_name,team_api_id,mean_player_rating,points_per_game
1. FC Köln,8722,72.82449494949493,1.1470588235294124
Bayer 04 Leverkusen,8178,78.48596256684493,1.4411764705882342
Borussia Dortmund,9789,76.37179144385031,1.7352941176470582
Borussia Mönchengladbach,9788,71.99474206349205,0.9117647058823524
DSC Arminia Bielefeld,9912,70.8358251633987,0.8235294117647063
Eintracht Frankfurt,9810,72.42016859774212,0.9705882352941169
FC Bayern Munich,9823,81.3729946524064,1.9705882352941164
FC Energie Cottbus,8398,67.8380932928727,0.8823529411764709
FC Schalke 04,10189,78.20756090314916,1.4705882352941166
Hamburger SV,9790,77.08048128342244,1.7941176470588245
Hannover 96,9904,73.01427987861813,1.1764705882352944
Hertha BSC Berlin,8177,75.35748663101602,1.8529411764705874
Karlsruher SC,8295,70.12040998217469,0.8529411764705878
SV Werder Bremen,8697,78.39839572192511,1.3235294117647052
TSG 1899 Hoffenheim,8226,74.88516042780746,1.6176470588235292
VfB Stuttgart,10269,76.23137254901961,1.8823529411764706
VfL Bochum,9911,71.66585795740207,0.9411764705882353
VfL Wolfsburg,8721,77.74451871657755,2.0294117647058836
